team,odds,date,site,division,conference,market,result
ARI,-164.0,Aug11,bookmaker,,,make playoffs,No
ATL,135.0,Aug11,bookmaker,,,make playoffs,Yes
ATL,-171.0,Aug11,bookmaker,,,make playoffs,No
BAL,-638.0,Aug11,bookmaker,,,make playoffs,Yes
BAL,425.0,Aug11,bookmaker,,,make playoffs,No
BUF,-906.0,Aug11,bookmaker,,,make playoffs,Yes
BUF,548.0,Aug11,bookmaker,,,make playoffs,No
CAR,267.0,Aug11,bookmaker,,,make playoffs,Yes
CAR,-360.0,Aug11,bookmaker,,,make playoffs,No
CHI,173.0,Aug11,bookmaker,,,make playoffs,Yes
CHI,-222.0,Aug11,bookmaker,,,make playoffs,No
CIN,-124.0,Aug11,bookmaker,,,make playoffs,Yes
CIN,103.0,Aug11,bookmaker,,,make playoffs,No
CLE,711.0,Aug11,bookmaker,,,make playoffs,Yes
CLE,-1100.0,Aug11,bookmaker,,,make playoffs,No
DAL,187.0,Aug11,bookmaker,,,make playoffs,Yes
DAL,-241.0,Aug11,bookmaker,,,make playoffs,No
DEN,-132.0,Aug11,bookmaker,,,make playoffs,Yes
DEN,103.0,Aug11,bookmaker,,,make playoffs,No
DET,-212.0,Aug11,bookmaker,,,make playoffs,Yes
DET,166.0,Aug11,bookmaker,,,make playoffs,No
HOU,-159.0,Aug11,bookmaker,,,make playoffs,Yes
HOU,139.0,Aug11,bookmaker,,,make playoffs,No
IND,194.0,Aug11,bookmaker,,,make playoffs,Yes
IND,-251.0,Aug11,bookmaker,,,make playoffs,No
JAX,158.0,Aug11,bookmaker,,,make playoffs,Yes
JAX,-200.0,Aug11,bookmaker,,,make playoffs,No
LV,305.0,Aug11,bookmaker,,,make playoffs,Yes
LV,-383.0,Aug11,bookmaker,,,make playoffs,No
LAC,-156.0,Aug11,bookmaker,,,make playoffs,Yes
LAC,124.0,Aug11,bookmaker,,,make playoffs,No
LA,-137.0,Aug11,bookmaker,,,make playoffs,Yes
LA,117.0,Aug11,bookmaker,,,make playoffs,No
MIA,225.0,Aug11,bookmaker,,,make playoffs,Yes
MIA,-273.0,Aug11,bookmaker,,,make playoffs,No
MIN,-114.0,Aug11,bookmaker,,,make playoffs,Yes
MIN,-107.0,Aug11,bookmaker,,,make playoffs,No
NE,162.0,Aug11,bookmaker,,,make playoffs,Yes
NE,-188.0,Aug11,bookmaker,,,make playoffs,No
NO,825.0,Aug11,bookmaker,,,make playoffs,Yes
NO,-1368.0,Aug11,bookmaker,,,make playoffs,No
NYG,827.0,Aug11,bookmaker,,,make playoffs,Yes
NYG,-1372.0,Aug11,bookmaker,,,make playoffs,No
NYJ,581.0,Aug11,bookmaker,,,make playoffs,Yes
NYJ,-835.0,Aug11,bookmaker,,,make playoffs,No
PHI,-390.0,Aug11,bookmaker,,,make playoffs,Yes
PHI,310.0,Aug11,bookmaker,,,make playoffs,No
PIT,149.0,Aug11,bookmaker,,,make playoffs,Yes
PIT,-171.0,Aug11,bookmaker,,,make playoffs,No
SF,-196.0,Aug11,bookmaker,,,make playoffs,Yes
SF,167.0,Aug11,bookmaker,,,make playoffs,No
SEA,180.0,Aug11,bookmaker,,,make playoffs,Yes
SEA,-215.0,Aug11,bookmaker,,,make playoffs,No
TB,-135.0,Aug11,bookmaker,,,make playoffs,Yes
TB,115.0,Aug11,bookmaker,,,make playoffs,No
TEN,416.0,Aug11,bookmaker,,,make playoffs,Yes
TEN,-550.0,Aug11,bookmaker,,,make playoffs,No
WAS,-135.0,Aug11,bookmaker,,,make playoffs,Yes
WAS,115.0,Aug11,bookmaker,,,make playoffs,No
ARI,-175.0,Aug11,bookmaker,,,stage,Miss playoffs
ARI,310.0,Aug11,bookmaker,,,stage,Wild card
ARI,660.0,Aug11,bookmaker,,,stage,Divisional
ARI,1500.0,Aug11,bookmaker,,,stage,Conference championship
ARI,4000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
ARI,7200.0,Aug11,bookmaker,,,stage,Win Super Bowl
ATL,-157.0,Aug11,bookmaker,,,stage,Miss playoffs
ATL,240.0,Aug11,bookmaker,,,stage,Wild card
ATL,650.0,Aug11,bookmaker,,,stage,Divisional
ATL,2000.0,Aug11,bookmaker,,,stage,Conference championship
ATL,6000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
ATL,7000.0,Aug11,bookmaker,,,stage,Win Super Bowl
BAL,400.0,Aug11,bookmaker,,,stage,Miss playoffs
BAL,300.0,Aug11,bookmaker,,,stage,Wild card
BAL,325.0,Aug11,bookmaker,,,stage,Divisional
BAL,545.0,Aug11,bookmaker,,,stage,Conference championship
BAL,630.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
BAL,650.0,Aug11,bookmaker,,,stage,Win Super Bowl
BUF,500.0,Aug11,bookmaker,,,stage,Miss playoffs
BUF,444.0,Aug11,bookmaker,,,stage,Wild card
BUF,250.0,Aug11,bookmaker,,,stage,Divisional
BUF,475.0,Aug11,bookmaker,,,stage,Conference championship
BUF,575.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
BUF,553.0,Aug11,bookmaker,,,stage,Win Super Bowl
CAR,450.0,Aug11,bookmaker,,,stage,Wild card
CAR,1303.0,Aug11,bookmaker,,,stage,Divisional
CAR,3429.0,Aug11,bookmaker,,,stage,Conference championship
CAR,9528.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
CAR,13307.0,Aug11,bookmaker,,,stage,Win Super Bowl
CAR,-448.0,Aug11,bookmaker,,,stage,Miss playoffs
CHI,-250.0,Aug11,bookmaker,,,stage,Miss playoffs
CHI,400.0,Aug11,bookmaker,,,stage,Wild card
CHI,950.0,Aug11,bookmaker,,,stage,Divisional
CHI,1800.0,Aug11,bookmaker,,,stage,Conference championship
CHI,3900.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
CHI,4000.0,Aug11,bookmaker,,,stage,Win Super Bowl
CIN,110.0,Aug11,bookmaker,,,stage,Miss playoffs
CIN,290.0,Aug11,bookmaker,,,stage,Wild card
CIN,475.0,Aug11,bookmaker,,,stage,Divisional
CIN,800.0,Aug11,bookmaker,,,stage,Conference championship
CIN,1800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
CIN,2100.0,Aug11,bookmaker,,,stage,Win Super Bowl
CLE,-1400.0,Aug11,bookmaker,,,stage,Miss playoffs
CLE,755.0,Aug11,bookmaker,,,stage,Wild card
CLE,2524.0,Aug11,bookmaker,,,stage,Divisional
CLE,6680.0,Aug11,bookmaker,,,stage,Conference championship
CLE,18000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
CLE,25000.0,Aug11,bookmaker,,,stage,Win Super Bowl
DAL,-230.0,Aug11,bookmaker,,,stage,Miss playoffs
DAL,400.0,Aug11,bookmaker,,,stage,Wild card
DAL,775.0,Aug11,bookmaker,,,stage,Divisional
DAL,1500.0,Aug11,bookmaker,,,stage,Conference championship
DAL,4000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
DAL,4300.0,Aug11,bookmaker,,,stage,Win Super Bowl
DEN,-103.0,Aug11,bookmaker,,,stage,Miss playoffs
DEN,254.0,Aug11,bookmaker,,,stage,Wild card
