game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,conf_game
2025_02_CHI_DET,2025,REG,2,2025-09-14,Sunday,13:00,CHI,,DET,,Home,,,,2025091403,,,202509140det,,,,6,7,180.0,-218.0,4.5,-105.0,-115.0,48.5,-110.0,-110.0,1,dome,fieldturf,,,,,,,Ben Johnson,Dan Campbell,,DET00,Ford Field,True
2025_02_NE_MIA,2025,REG,2,2025-09-14,Sunday,13:00,NE,,MIA,,Home,,,,2025091404,,,202509140mia,,,,7,7,120.0,-142.0,2.5,-110.0,-110.0,45.5,-110.0,-110.0,1,outdoors,grass,,,,,,,Mike Vrabel,Mike McDaniel,,MIA00,Hard Rock Stadium,True
2025_02_SF_NO,2025,REG,2,2025-09-14,Sunday,13:00,SF,,NO,,Home,,,,2025091405,,,202509140nor,,,,7,7,-345.0,275.0,-7.0,-110.0,-110.0,44.5,-110.0,-110.0,0,dome,sportturf,,,,,,,Kyle Shanahan,Kellen Moore,,NOR00,Mercedes-Benz Superdome,True
2025_02_BUF_NYJ,2025,REG,2,2025-09-14,Sunday,13:00,BUF,,NYJ,,Home,,,,2025091406,,,202509140nyj,,,,7,7,-395.0,310.0,-8.5,-110.0,-110.0,44.5,-110.0,-110.0,1,outdoors,fieldturf,,,,,,,Sean McDermott,Aaron Glenn,,NYC01,MetLife Stadium,True
2025_02_SEA_PIT,2025,REG,2,2025-09-14,Sunday,13:00,SEA,,PIT,,Home,,,,2025091407,,,202509140pit,,,,7,7,100.0,-120.0,1.5,-110.0,-110.0,42.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Mike Macdonald,Mike Tomlin,,PIT00,Acrisure Stadium,False
2025_02_LA_TEN,2025,REG,2,2025-09-14,Sunday,13:00,LA,,TEN,,Home,,,,2025091408,,,202509140oti,,,,7,7,-225.0,185.0,-5.5,-110.0,-110.0,45.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Sean McVay,Brian Callahan,,NAS00,Nissan Stadium,False
2025_02_CAR_ARI,2025,REG,2,2025-09-14,Sunday,16:05,CAR,,ARI,,Home,,,,2025091409,,,202509140crd,,,,7,7,164.0,-198.0,4.5,-110.0,-110.0,46.5,-110.0,-110.0,0,closed,grass,,,,,,,Dave Canales,Jonathan Gannon,,PHO00,State Farm Stadium,True
2025_02_DEN_IND,2025,REG,2,2025-09-14,Sunday,16:05,DEN,,IND,,Home,,,,2025091410,,,202509140clt,,,,7,7,-175.0,145.0,-3.5,-110.0,-110.0,44.5,-110.0,-110.0,0,closed,fieldturf,,,,,,,Sean Payton,Shane Steichen,,IND00,Lucas Oil Stadium,True
2025_02_PHI_KC,2025,REG,2,2025-09-14,Sunday,16:25,PHI,,KC,,Home,,,,2025091411,,,202509140kan,,,,10,9,100.0,-120.0,1.5,-110.0,-110.0,45.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Nick Sirianni,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,False
2025_02_ATL_MIN,2025,REG,2,2025-09-14,Sunday,20:20,ATL,,MIN,,Home,,,,2025091412,,,202509140min,,,,7,6,170.0,-205.0,4.5,-110.0,-110.0,45.5,-110.0,-110.0,0,dome,sportturf,,,,,,,Raheem Morris,Kevin O'Connell,,MIN01,U.S. Bank Stadium,True
2025_02_LAC_LV,2025,REG,2,2025-09-15,Monday,10:00,LAC,,LV,,Home,,,,2025091501,,,202509150rai,,,,10,8,-148.0,124.0,-3.0,-110.0,-110.0,44.5,-110.0,-110.0,1,dome,grass,,,,,,,Jim Harbaugh,Pete Carroll,,VEG00,Allegiant Stadium,True
2025_02_TB_HOU,2025,REG,2,2025-09-15,Monday,19:00,TB,,HOU,,Home,,,,2025091500,,,202509150htx,,,,8,8,100.0,-120.0,1.5,-112.0,-108.0,46.5,-110.0,-110.0,0,closed,astroturf,,,,,,,Todd Bowles,DeMeco Ryans,,HOU00,NRG Stadium,False
2025_03_MIA_BUF,2025,REG,3,2025-09-18,Thursday,20:15,MIA,,BUF,,Home,,,,2025091800,,,202509180buf,,,,4,4,310.0,-395.0,8.5,-110.0,-110.0,48.5,-110.0,-110.0,1,outdoors,a_turf,,,,,,,Mike McDaniel,Sean McDermott,,BUF00,New Era Field,True
2025_03_ATL_CAR,2025,REG,3,2025-09-21,Sunday,13:00,ATL,,CAR,,Home,,,,2025092100,,,202509210car,,,,7,7,100.0,-120.0,1.5,-112.0,-108.0,46.5,-110.0,-110.0,1,outdoors,grass,,,,,,,Raheem Morris,Dave Canales,,CAR00,Bank of America Stadium,True
2025_03_GB_CLE,2025,REG,3,2025-09-21,Sunday,13:00,GB,,CLE,,Home,,,,2025092101,,,202509210cle,,,,10,7,-245.0,200.0,-5.5,-120.0,100.0,43.5,-115.0,-105.0,0,outdoors,grass,,,,,,,Matt LaFleur,Kevin Stefanski,,CLE00,FirstEnergy Stadium,False
2025_03_HOU_JAX,2025,REG,3,2025-09-21,Sunday,13:00,HOU,,JAX,,Home,,,,2025092102,,,202509210jax,,,,6,7,-120.0,100.0,-1.5,-108.0,-112.0,46.5,-110.0,-110.0,1,outdoors,grass,,,,,,,DeMeco Ryans,Liam Coen,,JAX00,TIAA Bank Stadium,True
2025_03_CIN_MIN,2025,REG,3,2025-09-21,Sunday,13:00,CIN,,MIN,,Home,,,,2025092103,,,202509210min,,,,7,7,100.0,-120.0,1.5,-115.0,-105.0,47.5,-105.0,-115.0,0,dome,sportturf,,,,,,,Zac Taylor,Kevin O'Connell,,MIN01,U.S. Bank Stadium,False
2025_03_PIT_NE,2025,REG,3,2025-09-21,Sunday,13:00,PIT,,NE,,Home,,,,2025092104,,,202509210nwe,,,,7,7,100.0,-120.0,1.5,-110.0,-110.0,43.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Mike Tomlin,Mike Vrabel,,BOS00,Gillette Stadium,True
2025_03_LA_PHI,2025,REG,3,2025-09-21,Sunday,13:00,LA,,PHI,,Home,,,,2025092105,,,202509210phi,,,,7,7,170.0,-205.0,4.5,-105.0,-115.0,46.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Sean McVay,Nick Sirianni,,PHI00,Lincoln Financial Field,True
2025_03_NYJ_TB,2025,REG,3,2025-09-21,Sunday,13:00,NYJ,,TB,,Home,,,,2025092106,,,202509210tam,,,,7,6,270.0,-340.0,7.5,-110.0,-110.0,45.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Aaron Glenn,Todd Bowles,,TAM00,Raymond James Stadium,False
2025_03_IND_TEN,2025,REG,3,2025-09-21,Sunday,13:00,IND,,TEN,,Home,,,,2025092107,,,202509210oti,,,,7,7,102.0,-122.0,1.5,-110.0,-110.0,45.5,-115.0,-105.0,1,outdoors,grass,,,,,,,Shane Steichen,Brian Callahan,,NAS00,Nissan Stadium,True
2025_03_LV_WAS,2025,REG,3,2025-09-21,Sunday,13:00,LV,,WAS,,Home,,,,2025092108,,,202509210was,,,,6,10,270.0,-340.0,7.5,-110.0,-110.0,47.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Pete Carroll,Dan Quinn,,WAS00,FedExField,False
2025_03_DEN_LAC,2025,REG,3,2025-09-21,Sunday,16:05,DEN,,LAC,,Home,,,,2025092109,,,202509210sdg,,,,7,6,100.0,-120.0,1.5,-110.0,-110.0,44.5,-110.0,-110.0,1,dome,matrixturf,,,,,,,Sean Payton,Jim Harbaugh,,LAX01,SoFi Stadium,True
2025_03_NO_SEA,2025,REG,3,2025-09-21,Sunday,16:05,NO,,SEA,,Home,,,,2025092110,,,202509210sea,,,,7,7,210.0,-258.0,6.5,-105.0,-115.0,43.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Kellen Moore,Mike Macdonald,,SEA00,Lumen Field,True
2025_03_DAL_CHI,2025,REG,3,2025-09-21,Sunday,16:25,DAL,,CHI,,Home,,,,2025092111,,,202509210chi,,,,7,7,130.0,-155.0,3.0,-110.0,-110.0,47.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Brian Schottenheimer,Ben Johnson,,CHI98,Soldier Field,True
2025_03_ARI_SF,2025,REG,3,2025-09-21,Sunday,16:25,ARI,,SF,,Home,,,,2025092112,,,202509210sfo,,,,7,7,154.0,-185.0,3.5,-105.0,-115.0,47.5,-105.0,-115.0,1,outdoors,grass,,,,,,,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,True
2025_03_KC_NYG,2025,REG,3,2025-09-21,Sunday,20:20,KC,,NYG,,Home,,,,2025092113,,,202509210nyg,,,,7,7,-278.0,225.0,-6.5,-110.0,-110.0,43.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Andy Reid,Brian Daboll,,NYC01,MetLife Stadium,False
2025_03_DET_BAL,2025,REG,3,2025-09-22,Monday,20:15,DET,,BAL,,Home,,,,2025092200,,,202509220rav,,,,8,8,150.0,-180.0,3.5,-105.0,-115.0,49.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Dan Campbell,John Harbaugh,,BAL00,M&T Bank Stadium,False
